# MLLW datum factors, added to model water level (xGEOID20B) to
# reference it to MLLW. Generated by nos_workflow.tools.build_mllw_table
# from the CO-OPS plot_timeseries_wl.ctl; do not hand-edit.
# station_row is the 1-based row order of station.in, which is the
# station dimension order SCHISM writes. Column 1 of station.in is a
# per-group counter and is NOT a station key.
station_row,gauge_id,coops_code,station_label,mllw_factor
1,8729210,panb,Panama_City_Beach(8729210),0.347
2,8729108,panc,Panama_City(8729108),0.346
3,8728690,apal,Apalachicola(8728690),0.365
4,8727520,cdky,Cedar_Key(8727520),0.744
5,8726724,clwt,Clearwater_Beach(8726724),0.587
6,8726384,pomt,Port_Manatee(8726384),0.476
7,8726520,stpe,St_Petersburg(8726520),0.481
8,8726607,opta,Old_Port_Tampa(8726607),0.502
9,8726674,estb,East_Bay(8726674),0.541
10,8725520,ftmy,Fort_Myers(8725520),0.295
11,8725110,napl,Naples(8725110),0.59
12,8724580,keyw,Key_West(8724580),0.4
13,8723970,vack,Vaca_Key(8723970),0.273
14,8723214,virk,Virginia_Key(8723214),0.528
15,8722956,speg,South_Port_Everglades(8722956),0.605
16,8722670,lwpr,Lake_Worth_Pier(8722670),0.649
17,8721604,trip,Trident_Pier(8721604),0.884
18,8720218,mayp,Mayport(8720218),1.052
19,8720219,dame,Dames_Point(8720219),0.874
20,8720226,main,Southbank_Riverwalk(8720226),0.512
21,8720357,buck,I-95_Buckman_Bridge(8720357),0.232
22,8720767,buff,Buffalo Bluff(8720767),0.267
23,8720030,fern,Fernandina_Beach(8720030),1.282
24,8679598,kinb,Kings_Bay(8679598),1.373
25,8670870,forp,Fort_Pulaski(8670870),1.442
26,8665530,char,Charleston(8665530),1.196
27,8661070,sprp,Springmaid_Pier(8661070),1.136
28,8658120,wilm,Wilmington(8658120),0.892
29,8658163,wrib,Wrightsville_Beach(8658163),1.003
30,8656483,beau,Beaufort(8656483),0.877
31,8654467,hatt,USCG_Station_Hatteras(8654467),0.431
32,8652587,oimr,Oregon_Inlet_Marina(8652587),0.555
33,8651370,duck,Duck(8651370),1.25
34,8638901,cbbt,CBBT_Chesapeake_Channel(8638901),1.15
35,8639348,monp,Money_Point(8639348),1.15
36,8638610,sept,Sewells_Point(8638610),1.15
37,8632200,kipt,Kiptopeke(8632200),1.15
38,8637689,york,Yorktown(8637689),1.05
39,8636580,wmpt,Windmill Point(8636580),0.95
40,8631044,wach,Wachapreague(8631044),1.25
41,8635750,lewi,Lewisetta(8635750),1.05
42,8571421,bish,Bishops_Head(8571421),1.05
43,8635027,dahl,Dahlgren(8635027),1.05
44,8577330,solo,Solomons_Island(8577330),1.05
45,8594900,wash,Washington(8594900),1.05
46,8571892,camb,Cambridge(8571892),1.05
47,8575512,anna,Annapolis(8575512),1.05
48,8573364,tolc,Tolchester_Beach(8573364),1.05
49,8574680,balt,Baltimore(8574680),1.05
50,8573927,chec,Chesapeake_City(8573927),1.05
51,9755371,sanj,San_Juan_La_Puntilla(9755371),0.05
52,9759394,maya,Mayaguez(9759394),0.0
53,9759110,magu,Magueyes_Island(9759110),-0.1
54,9752695,espe,Esperanza_Vieques_Island(9752695),-0.1
55,9751639,cham,Charlotte_Amalie(9751639),-0.1
56,9751381,laba,Lameshur_Bay(9751381),-0.1
57,9751364,crha,Christiansted_Harbor(9751364),-0.05
58,9751401,litb,Lime_Tree_Bay(9751401),-0.05
