;station_info;lon;lat
0;CO-OPS 9459450 AK Sand Point;199.496;55.332
1;CO-OPS 9459881 AK King Cove;197.6741;55.060
2;CO-OPS 9461380 AK Adak Island;183.382;51.861
3;CO-OPS 9461710 AK Atka;185.827;52.222
4;CO-OPS 9462450 AK Nikolski;191.129;52.941
5;CO-OPS 9462620 AK Unalaska;193.460;53.879
6;CO-OPS 9464212 AK Village Cove, St Paul Island;189.715;57.125
7;CO-OPS 9468333 AK Unalakleet;199.197;63.871
8;CO-OPS 9468756 AK Nome, Norton Sound;194.535;64.495
9;NDBC 46035 AK Central Bering Sea;182.532;57.034
10;NDBC 46070 AK Southwest Bering Sea;175.261;55.050
11;NDBC 46071 AK Western Aleutians;179.764;51.040
12;NDBC 46072 AK Central Aleutians;187.855;51.645
13;NDBC 46073 AK Southeast Bering Sea;187.988;55.008
14;NDBC 46075 AK Shumagin Islands;199.206;53.969
15;NDBC 46265 AK Nome (surface, 0m);194.521;64.474
16;NDBC 46265 AK Nome (current, -1m);194.521;64.474
17;SYNTHETIC AK modulation1 (no gauge);187.112;51.988
18;SYNTHETIC AK modulation2 (no gauge);187.231;52.207
19;SYNTHETIC AK modulation3 (no gauge);193.916;54.020
20;SYNTHETIC AK modulation4 (no gauge);190.298;52.686
21;SYNTHETIC AK modulation5 (no gauge);184.621;51.986
